date,open,high,low,close
2018-01-01,10517.39,10565.91,10414.68,10554.84
2018-01-02,10546.44,10572.31,10470.1,10546.5
2018-01-03,10515.4,10695.17,10510.37,10616.72
2018-01-04,10616.68,10785.99,10574.47,10776.17
2018-01-05,10756.6,10760.66,10741.1,10757.9
2018-01-08,10738.73,10742.32,10702.1,10739.67
2018-01-09,10785.21,10932.03,10676.89,10906.75
2018-01-10,10905.92,10993.99,10865.08,10991.8
2018-01-11,10995.86,11050.98,10931.64,10948.79
2018-01-12,10982.93,11030.07,10976.59,11010.75
2018-01-15,11028.95,11054.19,10933.63,10968.29
2018-01-16,10954.49,10987.32,10902.93,10925.77
2018-01-17,10885.67,11024.62,10804.56,10956.43
2018-01-18,10940.54,10949.29,10701.55,10765.68
2018-01-19,10767.71,10798.67,10530.84,10597.1
2018-01-22,10625.43,10675.69,10541.85,10546.38
2018-01-23,10567.46,10647.91,10419.8,10451.32
2018-01-24,10461.35,10496.16,10434.17,10487.81
2018-01-25,10480.18,10491.77,10384.81,10403.57
2018-01-26,10393.71,10408.92,10270.95,10270.96
2018-01-29,10294.59,10466.77,10263.33,10419.56
2018-01-30,10436.07,10468.87,10369.16,10402.72
2018-01-31,10367.51,10438.05,10359.73,10414.74
2018-02-01,10435.66,10464.9,10249.51,10280.77
2018-02-02,10302.45,10306.38,10216.23,10233.3
2018-02-05,10241.12,10282.99,10219.36,10249.32
2018-02-06,10282.57,10283.49,10084.4,10143.68
2018-02-07,10129.74,10257.5,10077.46,10185.01
2018-02-08,10200.57,10221.03,10075.12,10132.59
2018-02-09,10115.71,10141.53,10105.49,10109.92
2018-02-12,10111.45,10165.7,10029.92,10057.79
2018-02-13,10027.45,10288.05,10026.52,10240.65
2018-02-14,10225.73,10256.6,10207.16,10244.63
2018-02-15,10264.92,10289.02,10132.67,10147.98
2018-02-16,10162.54,10255.57,10145.34,10232.44
2018-02-19,10239.23,10245.03,10074.38,10120.3
2018-02-20,10145.19,10235.65,10144.83,10145.53
2018-02-21,10124.29,10125.47,9925.07,9964.53
2018-02-22,9952.27,9957.4,9831.91,9845.33
2018-02-23,9869.02,9899.63,9836.5,9868.75
2018-02-26,9860.34,9958.97,9831.86,9942.98
2018-02-27,9959.8,10010.12,9937.75,9964.23
2018-02-28,9956.91,9966.6,9884.96,9958.49
2018-03-01,9951.5,9993.3,9921.85,9935.32
2018-03-02,9928.68,9982.08,9794.24,9802.54
2018-03-05,9804.32,9875.17,9707.59,9741.11
2018-03-06,9785.82,9800.64,9689.14,9703.81
2018-03-07,9692.3,9818.62,9673.96,9806.28
2018-03-08,9824.66,9881.77,9769.38,9843.25
2018-03-09,9850.36,9874.33,9677.06,9685.62
2018-03-12,9667.64,9723.17,9660.4,9720.34
2018-03-13,9693.41,9724.17,9651.41,9690.03
2018-03-14,9675.89,9715.47,9621.54,9633.22
2018-03-15,9633.68,9704.3,9631.33,9694.06
2018-03-16,9698.35,9847.61,9649.73,9794.01
2018-03-19,9740.69,9922.94,9740.09,9885.67
2018-03-20,9906.39,9951.48,9811.69,9812.65
2018-03-21,9816.87,9838.93,9728.25,9789.07
2018-03-22,9823.25,9879.82,9808.25,9824.83
2018-03-23,9834.85,9940.17,9795.7,9920.93
2018-03-26,9957.19,10023.12,9578.8,9589.75
2018-03-27,9591.37,9716.35,9556.97,9652.6
2018-03-28,9620.32,9620.42,9611.05,9611.86
2018-03-29,9607.47,9686.47,9553.31,9662.51
2018-03-30,9654.61,9723.45,9628.37,9704.86
2018-04-02,9707.76,9718.96,9698.41,9703.07
2018-04-03,9717.44,9718.75,9661.04,9701.47
2018-04-04,9677.54,9857.34,9621.19,9798.96
2018-04-05,9814.78,9841.76,9796.96,9837.57
2018-04-06,9826.28,9869.25,9708.31,9782.83
2018-04-09,9770.99,9866.08,9769.89,9821.36
2018-04-10,9817.19,10030.27,9816.79,9970.28
2018-04-11,9976.19,9986.1,9907.21,9972.05
2018-04-12,9977.8,10148.59,9921.08,10125.8
2018-04-13,10115.32,10136.58,9842.6,9883.31
2018-04-16,9862.29,9996.99,9853.0,9965.51
2018-04-17,9939.08,10005.16,9872.91,9978.86
2018-04-18,9997.22,10009.27,9955.2,9955.84
2018-04-19,9974.08,10002.89,9957.17,9969.61
2018-04-20,9948.55,9990.67,9753.13,9789.17
2018-04-23,9779.53,9794.58,9762.63,9773.92
2018-04-24,9756.49,9824.56,9737.57,9812.01
2018-04-25,9802.83,9987.18,9799.5,9955.13
2018-04-26,9951.09,9959.86,9849.37,9911.61
2018-04-27,9912.97,9938.32,9806.18,9841.25
2018-04-30,9824.48,9881.96,9763.2,9799.76
2018-05-01,9755.99,9909.3,9722.11,9889.99
2018-05-02,9879.86,9961.54,9822.72,9925.88
2018-05-03,9926.21,9957.59,9830.01,9881.42
2018-05-04,9884.64,9931.92,9652.29,9660.81
2018-05-07,9646.47,9678.2,9642.82,9658.74
2018-05-08,9656.15,9791.57,9634.63,9775.46
2018-05-09,9772.83,9788.6,9643.15,9664.39
2018-05-10,9689.8,9794.97,9643.4,9772.86
2018-05-11,9744.01,9841.99,9731.11,9827.04
2018-05-14,9832.52,9866.42,9648.62,9697.08
2018-05-15,9675.59,9783.83,9624.5,9729.27
2018-05-16,9735.06,9800.66,9717.8,9758.33
2018-05-17,9781.39,9792.28,9750.67,9763.84
2018-05-18,9748.58,9788.55,9701.11,9747.25
2018-05-21,9779.88,9818.42,9568.64,9622.72
2018-05-22,9613.34,9633.86,9535.4,9589.49
2018-05-23,9586.71,9599.28,9532.77,9563.42
2018-05-24,9542.19,9585.97,9490.67,9496.09
2018-05-25,9485.12,9509.45,9432.63,9486.52
2018-05-28,9476.35,9537.79,9436.12,9527.72
2018-05-29,9526.86,9722.42,9518.72,9704.06
2018-05-30,9716.92,9756.5,9677.93,9725.1
2018-05-31,9727.47,9814.11,9633.53,9753.83
2018-06-01,9744.65,9768.73,9735.05,9752.0
2018-06-04,9763.61,9815.4,9556.7,9581.72
2018-06-05,9589.03,9594.24,9560.57,9584.26
2018-06-06,9613.2,9622.44,9530.58,9594.67
2018-06-07,9608.94,9858.4,9603.44,9825.68
2018-06-08,9841.14,9852.85,9808.9,9812.89
2018-06-11,9801.59,9960.18,9774.21,9845.97
2018-06-12,9840.99,9907.43,9825.32,9847.82
2018-06-13,9837.16,9879.14,9699.83,9744.7
2018-06-14,9740.43,9902.63,9718.79,9855.58
2018-06-15,9858.73,9953.67,9827.78,9930.97
2018-06-18,9943.32,10023.97,9899.82,10010.65
2018-06-19,10008.15,10030.93,9908.1,9930.11
2018-06-20,9968.64,10097.69,9917.14,10067.81
2018-06-21,10044.94,10064.55,9928.64,9940.45
2018-06-22,9972.69,10027.07,9935.56,10000.89
2018-06-25,9998.56,10283.34,9963.2,10215.31
2018-06-26,10162.43,10164.86,9803.48,9840.86
2018-06-27,9820.91,9934.66,9780.21,9901.08
2018-06-28,9898.18,9977.41,9851.16,9947.46
2018-06-29,9951.07,10024.9,9932.2,9976.41
2018-07-02,9962.04,10098.59,9935.8,10037.62
2018-07-03,10000.27,10034.84,9898.25,9920.93
2018-07-04,9924.83,9964.84,9805.3,9826.91
2018-07-05,9794.56,9935.55,9748.94,9876.07
2018-07-06,9874.35,9908.06,9781.22,9795.7
2018-07-09,9797.6,9951.09,9784.71,9945.35
2018-07-10,9952.49,10000.59,9867.17,9877.11
2018-07-11,9883.32,9955.98,9806.16,9852.17
2018-07-12,9862.43,9958.36,9788.4,9933.32
2018-07-13,9941.48,9976.48,9800.4,9823.53
2018-07-16,9821.88,9834.97,9604.96,9611.49
2018-07-17,9579.01,9607.62,9564.95,9600.2
2018-07-18,9586.66,9753.02,9538.63,9657.03
2018-07-19,9634.82,9648.18,9285.45,9339.92
2018-07-20,9311.97,9362.38,9307.35,9359.5
2018-07-23,9335.64,9452.26,9293.96,9437.93
2018-07-24,9466.39,9475.84,9359.76,9454.36
2018-07-25,9415.45,9428.86,9352.23,9405.36
2018-07-26,9407.06,9476.55,9387.98,9456.81
2018-07-27,9454.41,9519.62,9425.65,9488.27
2018-07-30,9524.95,9541.84,9450.88,9515.67
2018-07-31,9526.15,9559.23,9525.97,9551.8
2018-08-01,9567.46,9612.74,9462.89,9495.51
2018-08-02,9494.95,9542.08,9472.28,9521.28
2018-08-03,9516.86,9553.73,9506.57,9552.62
2018-08-06,9550.59,9615.71,9402.46,9493.25
2018-08-07,9500.41,9670.95,9439.77,9667.08
2018-08-08,9652.38,9720.4,9624.77,9715.47
2018-08-09,9703.62,9764.77,9610.57,9611.68
2018-08-10,9613.95,9702.58,9568.67,9676.48
2018-08-13,9672.37,9692.52,9532.07,9592.72
2018-08-14,9591.55,9690.67,9526.92,9669.32
2018-08-15,9704.98,9829.13,9661.41,9780.8
2018-08-16,9775.4,9807.3,9701.81,9710.25
2018-08-17,9703.91,9815.11,9664.47,9804.11
2018-08-20,9783.24,9886.7,9754.73,9847.5
2018-08-21,9889.82,9993.79,9885.34,9929.41
2018-08-22,9910.28,10160.92,9875.65,10114.2
2018-08-23,10113.58,10151.08,10006.96,10095.98
2018-08-24,10080.42,10130.03,10021.78,10029.5
2018-08-27,10052.47,10090.28,9949.31,9950.69
2018-08-28,9977.96,10043.13,9870.07,9879.37
2018-08-29,9868.7,9882.18,9840.68,9877.27
2018-08-30,9881.63,9954.34,9861.82,9914.28
2018-08-31,9942.56,9958.45,9909.14,9945.36
2018-09-03,9950.34,10061.03,9934.57,10028.57
2018-09-04,10013.18,10065.63,9968.02,10034.98
2018-09-05,10016.63,10202.46,10010.09,10179.01
2018-09-06,10211.98,10234.99,10105.02,10158.82
2018-09-07,10156.93,10438.96,10109.27,10428.7
2018-09-10,10426.51,10508.13,10411.43,10495.95
2018-09-11,10487.4,10549.12,10200.29,10215.15
2018-09-12,10216.17,10304.96,10195.53,10302.54
2018-09-13,10304.18,10356.19,10300.89,10353.49
2018-09-14,10335.69,10419.9,10304.26,10411.32
2018-09-17,10407.58,10535.6,10400.62,10528.78
2018-09-18,10537.57,10561.12,10507.64,10514.97
2018-09-19,10495.8,10564.41,10453.08,10513.16
2018-09-20,10529.35,10556.7,10400.9,10434.75
2018-09-21,10431.38,10457.46,10251.4,10291.76
2018-09-24,10269.34,10319.13,10233.49,10253.72
2018-09-25,10275.35,10350.1,10247.56,10342.37
2018-09-26,10319.73,10393.05,10261.19,10368.66
2018-09-27,10346.17,10433.77,10218.14,10252.61
2018-09-28,10267.99,10280.67,10254.82,10274.7
2018-10-01,10248.57,10321.56,10201.09,10317.5
2018-10-02,10282.8,10287.72,10210.95,10236.97
2018-10-03,10271.45,10312.54,10187.5,10257.14
2018-10-04,10243.17,10273.67,10135.8,10268.08
2018-10-05,10262.29,10266.33,10156.76,10163.02
2018-10-08,10162.16,10205.42,10051.87,10202.7
2018-10-09,10207.93,10282.04,10153.29,10262.2
2018-10-10,10269.77,10378.53,10224.38,10373.11
2018-10-11,10324.2,10503.91,10292.58,10482.32
2018-10-12,10481.6,10573.78,10297.45,10352.09
2018-10-15,10346.92,10360.11,10256.89,10266.05
2018-10-16,10291.97,10398.33,10287.35,10321.46
2018-10-17,10345.12,10381.11,10305.76,10377.04
2018-10-18,10364.51,10449.45,10334.62,10433.05
2018-10-19,10429.86,10890.75,10404.94,10825.44
2018-10-22,10814.88,10909.64,10807.32,10889.61
2018-10-23,10860.67,11015.46,10856.37,11012.77
2018-10-24,11034.26,11161.46,10990.9,11118.23
2018-10-25,11116.05,11242.25,11057.86,11192.64
2018-10-26,11235.95,11243.13,11123.28,11165.11
2018-10-29,11126.97,11369.98,11087.21,11251.27
2018-10-30,11245.52,11259.29,11142.33,11175.17
2018-10-31,11190.31,11198.48,11155.46,11155.95
2018-11-01,11168.46,11246.27,11094.13,11110.63
2018-11-02,11074.03,11151.87,11044.1,11124.97
2018-11-05,11090.0,11412.96,11083.37,11376.83
2018-11-06,11372.16,11425.53,11107.36,11183.63
2018-11-07,11185.28,11288.36,11173.73,11262.19
2018-11-08,11258.6,11277.96,11060.0,11097.6
2018-11-09,11100.85,11115.08,11052.82,11053.92
2018-11-12,11046.42,11247.43,10998.17,11174.01
2018-11-13,11194.2,11283.23,11084.52,11186.57
2018-11-14,11160.26,11175.23,10967.64,11078.94
2018-11-15,11078.04,11088.86,10943.0,11009.99
2018-11-16,11013.3,11172.31,10956.62,11086.63
2018-11-19,11073.11,11090.66,10966.23,11016.07
2018-11-20,10997.31,11128.71,10993.58,11044.32
2018-11-21,11077.67,11093.42,10994.36,11054.78
2018-11-22,11078.5,11102.74,10959.19,10992.59
2018-11-23,10976.73,11300.43,10975.31,11223.34
2018-11-26,11158.14,11323.32,11154.94,11296.6
2018-11-27,11307.25,11355.05,11079.38,11088.2
2018-11-28,11124.38,11152.06,11079.83,11113.48
2018-11-29,11108.2,11208.68,11010.03,11049.9
2018-11-30,11041.48,11169.37,11008.34,11145.02
2018-12-03,11117.24,11201.17,11041.17,11067.57
2018-12-04,11110.76,11122.81,11019.72,11061.29
2018-12-05,11041.38,11189.92,10987.45,11119.93
2018-12-06,11117.77,11306.53,11073.0,11217.06
2018-12-07,11203.9,11263.1,11002.02,11096.28
2018-12-10,11102.7,11104.74,11032.48,11066.97
2018-12-11,11042.39,11075.95,10955.67,11023.1
2018-12-12,11028.88,11055.78,10954.55,10960.91
2018-12-13,10946.49,11187.81,10916.57,11151.04
2018-12-14,11147.94,11253.56,11128.21,11199.57
2018-12-17,11191.93,11217.29,11023.03,11072.64
2018-12-18,11090.68,11272.56,11073.72,11174.85
2018-12-19,11159.65,11441.09,11129.3,11407.08
2018-12-20,11444.72,11557.98,11417.93,11524.86
2018-12-21,11496.27,11509.77,11363.39,11366.44
2018-12-24,11340.59,11381.09,11250.98,11320.39
2018-12-25,11321.13,11467.3,11316.35,11462.64
2018-12-26,11494.61,11542.67,11374.06,11392.12
2018-12-27,11388.27,11524.7,11346.54,11445.9
2018-12-28,11469.86,11571.01,11426.87,11535.93
2018-12-31,11522.34,11543.81,11359.41,11441.24
2019-01-01,11462.56,11512.84,11391.1,11440.7
2019-01-02,11477.41,11496.79,11032.21,11101.34
2019-01-03,11096.89,11175.33,10962.21,11000.08
2019-01-04,10960.39,10987.0,10918.51,10979.52
2019-01-07,10986.64,11086.76,10771.06,10856.43
2019-01-08,10854.63,11031.64,10796.27,11030.87
2019-01-09,11005.42,11042.62,10840.53,10888.43
2019-01-10,10886.07,10912.33,10835.04,10848.84
2019-01-11,10862.93,10893.15,10845.11,10867.86
2019-01-14,10874.04,11068.2,10854.66,11022.56
2019-01-15,11063.54,11107.01,10804.85,10879.63
2019-01-16,10825.4,11009.8,10811.37,11005.54
2019-01-17,11002.79,11047.74,10985.36,11012.29
2019-01-18,10972.46,10990.17,10882.56,10916.26
2019-01-21,10905.33,10988.92,10901.9,10969.68
2019-01-22,10992.81,11038.65,10989.26,10996.01
2019-01-23,11015.55,11031.47,10920.84,10939.46
2019-01-24,10963.71,10981.52,10925.31,10952.33
2019-01-25,10964.94,10971.5,10869.15,10918.16
2019-01-28,10926.23,10962.78,10911.44,10935.51
2019-01-29,10915.77,11051.53,10854.77,11009.82
2019-01-30,11036.73,11196.18,11029.47,11181.83
2019-01-31,11198.9,11221.81,10998.67,11057.51
2019-02-01,11086.73,11304.37,11048.07,11288.46
2019-02-04,11276.24,11279.47,11039.89,11087.87
2019-02-05,11077.75,11094.27,10995.79,11077.69
2019-02-06,11075.38,11173.49,11040.97,11145.19
2019-02-07,11143.94,11242.73,11097.54,11180.59
2019-02-08,11163.88,11165.83,11117.7,11120.73
2019-02-11,11125.85,11223.36,11089.72,11104.61
2019-02-12,11129.59,11185.93,11014.85,11058.7
2019-02-13,11079.06,11112.81,10986.48,11002.96
2019-02-14,10995.88,11102.2,10951.83,11097.37
2019-02-15,11103.25,11146.24,11060.28,11140.62
2019-02-18,11122.74,11126.17,11029.52,11073.63
2019-02-19,11085.35,11194.76,11018.26,11173.92
2019-02-20,11180.87,11283.0,11171.36,11212.2
2019-02-21,11238.63,11331.46,11147.66,11304.48
2019-02-22,11309.01,11392.33,11251.39,11377.8
2019-02-25,11385.42,11407.82,11093.71,11115.3
2019-02-26,11118.06,11238.98,11113.8,11210.92
2019-02-27,11197.61,11409.99,11153.14,11385.46
2019-02-28,11410.39,11488.38,11334.51,11368.48
2019-03-01,11400.28,11471.3,11347.08,11370.75
2019-03-04,11346.7,11429.28,11307.25,11400.56
2019-03-05,11392.74,11562.67,11356.06,11544.98
2019-03-06,11518.51,11539.97,11400.76,11486.55
2019-03-07,11515.11,11584.72,11470.01,11552.04
2019-03-08,11566.78,11587.59,11494.48,11535.94
2019-03-11,11504.37,11527.37,11500.65,11518.18
2019-03-12,11520.0,11665.88,11496.01,11644.4
2019-03-13,11625.35,11766.7,11594.94,11741.63
2019-03-14,11761.91,11838.89,11740.23,11838.34
2019-03-15,11829.49,11991.64,11752.74,11991.46
2019-03-18,11961.8,12032.45,11939.23,12000.03
2019-03-19,11978.84,12154.74,11953.0,12083.84
2019-03-20,12071.57,12161.35,12043.63,12054.68
2019-03-21,12053.6,12147.78,12003.28,12097.9
2019-03-22,12118.91,12213.72,12074.07,12089.27
2019-03-25,12084.73,12130.67,12070.51,12106.59
2019-03-26,12113.7,12217.34,12111.31,12181.15
2019-03-27,12193.07,12200.43,12075.18,12093.57
2019-03-28,12071.13,12370.58,12043.45,12341.42
2019-03-29,12334.6,12401.63,12213.64,12230.97
2019-04-01,12203.0,12229.44,12032.52,12097.69
2019-04-02,12067.17,12333.68,12047.13,12237.11
2019-04-03,12262.41,12407.74,12214.71,12335.35
2019-04-04,12332.63,12475.19,12320.07,12414.72
2019-04-05,12441.79,12555.06,12387.5,12495.09
2019-04-08,12514.94,12524.05,12493.18,12500.09
2019-04-09,12503.27,12507.62,12325.39,12400.96
2019-04-10,12367.07,12501.79,12271.43,12416.25
2019-04-11,12442.8,12481.29,12336.89,12343.42
2019-04-12,12340.59,12508.3,12298.56,12464.11
2019-04-15,12460.93,12472.78,12441.62,12453.22
2019-04-16,12471.17,12519.01,12319.67,12362.84
2019-04-17,12398.69,12469.41,12317.98,12331.71
2019-04-18,12324.19,12420.95,12264.21,12386.31
2019-04-19,12426.66,12506.59,12314.82,12326.86
2019-04-22,12337.57,12371.44,12196.49,12237.78
2019-04-23,12243.22,12276.13,12242.92,12272.32
2019-04-24,12293.39,12326.52,12277.68,12307.1
2019-04-25,12294.63,12336.4,12240.65,12254.61
2019-04-26,12242.39,12264.37,12149.59,12206.48
2019-04-29,12200.28,12272.05,12198.91,12239.59
2019-04-30,12242.14,12300.26,12065.07,12079.49
2019-05-01,12071.3,12079.62,11891.44,11926.05
2019-05-02,11929.31,11987.91,11850.92,11851.48
2019-05-03,11893.58,11915.5,11797.27,11833.7
2019-05-06,11846.65,11939.43,11781.32,11874.64
2019-05-07,11869.96,12076.99,11863.18,12047.56
2019-05-08,12047.8,12217.25,12042.57,12151.85
2019-05-09,12185.27,12200.63,12094.78,12139.76
2019-05-10,12145.32,12229.36,12072.1,12143.85
2019-05-13,12115.58,12204.34,12000.26,12035.56
2019-05-14,12019.44,12081.84,11964.22,12039.66
2019-05-15,12009.48,12014.14,11996.72,12013.06
2019-05-16,12037.97,12083.15,12017.97,12055.97
2019-05-17,12027.73,12137.13,11956.8,11968.27
2019-05-20,11968.48,12113.01,11940.4,12033.36
2019-05-21,12073.48,12235.31,12041.05,12215.2
2019-05-22,12201.21,12275.18,12180.98,12208.95
2019-05-23,12224.58,12326.25,12209.56,12261.71
2019-05-24,12291.15,12377.94,12271.72,12348.3
2019-05-27,12333.54,12429.66,12236.69,12307.92
2019-05-28,12306.46,12412.67,12241.74,12340.38
2019-05-29,12340.2,12357.01,12203.52,12348.21
2019-05-30,12333.56,12452.48,12314.28,12365.99
2019-05-31,12360.22,12490.65,12274.42,12282.33
2019-06-03,12248.57,12305.38,12240.11,12291.52
2019-06-04,12300.54,12362.47,12191.53,12355.86
2019-06-05,12369.62,12586.81,12363.46,12532.92
2019-06-06,12512.87,12666.1,12467.31,12653.56
2019-06-07,12706.89,12956.04,12671.94,12920.31
2019-06-10,12911.95,12971.78,12823.44,12833.58
2019-06-11,12843.87,12975.41,12709.15,12946.48
2019-06-12,12914.51,13025.32,12866.79,12975.62
2019-06-13,12980.89,13320.43,12942.9,13253.74
2019-06-14,13278.43,13317.3,13105.33,13159.68
2019-06-17,13200.85,13262.84,13021.21,13062.42
2019-06-18,13085.87,13145.02,12960.29,12995.35
2019-06-19,12976.01,13009.86,12661.9,12743.72
2019-06-20,12711.31,12774.73,12672.18,12687.11
2019-06-21,12693.98,12715.99,12577.29,12602.93
2019-06-24,12590.73,12633.61,12515.38,12627.36
2019-06-25,12651.59,12739.91,12619.93,12674.74
2019-06-26,12664.64,12972.3,12658.41,12908.1
2019-06-27,12923.29,13036.08,12842.84,13031.27
2019-06-28,13044.04,13072.61,12937.74,12967.11
2019-07-01,12952.72,12976.72,12824.55,12864.13
2019-07-02,12867.38,12928.0,12327.78,12420.84
2019-07-03,12445.14,12447.01,12346.31,12359.83
2019-07-04,12364.74,12627.66,12264.19,12601.58
2019-07-05,12654.81,12694.8,12577.75,12577.85
2019-07-08,12578.72,12679.19,12518.55,12522.96
2019-07-09,12562.75,12625.34,12514.41,12604.83
2019-07-10,12608.23,12711.72,12553.55,12705.7
2019-07-11,12714.79,12861.98,12686.49,12860.84
2019-07-12,12865.81,12903.92,12826.27,12870.4
2019-07-15,12854.32,13013.7,12677.96,12684.49
2019-07-16,12670.43,12689.8,12518.46,12619.36
2019-07-17,12670.54,12678.9,12584.75,12626.5
2019-07-18,12641.26,12659.98,12618.81,12638.62
2019-07-19,12621.92,12634.57,12550.58,12591.48
2019-07-22,12621.3,12702.25,12587.93,12672.34
2019-07-23,12640.28,12679.78,12503.1,12551.62
2019-07-24,12558.17,12609.57,12531.18,12541.21
2019-07-25,12515.4,12586.92,12473.29,12561.95
2019-07-26,12551.8,12643.09,12483.48,12629.68
2019-07-29,12630.35,12722.61,12593.09,12721.45
2019-07-30,12722.73,12755.07,12539.14,12593.47
2019-07-31,12585.21,12750.08,12378.01,12418.64
2019-08-01,12448.66,12577.66,12431.77,12575.96
2019-08-02,12605.31,12627.14,12499.8,12622.02
2019-08-05,12584.02,12605.09,12536.18,12539.53
2019-08-06,12576.01,12768.59,12560.45,12731.24
2019-08-07,12708.72,12778.3,12612.55,12751.74
2019-08-08,12741.91,12903.97,12734.96,12901.29
2019-08-09,12956.75,13051.78,12877.39,12916.18
2019-08-12,12863.38,13182.18,12844.01,13176.95
2019-08-13,13154.27,13447.73,13071.01,13404.25
2019-08-14,13397.34,13432.83,13329.86,13379.65
2019-08-15,13378.13,13528.19,13341.99,13510.01
2019-08-16,13541.23,13675.22,13524.98,13599.67
2019-08-19,13590.01,13806.67,13571.44,13783.79
2019-08-20,13807.7,13859.6,13602.46,13665.74
2019-08-21,13664.95,13834.84,13627.77,13761.71
2019-08-22,13756.24,14002.21,13737.94,13907.21
2019-08-23,13935.21,14006.67,13664.35,13685.06
2019-08-26,13689.04,13691.8,13459.2,13539.88
2019-08-27,13517.94,13543.06,13243.97,13288.34
2019-08-28,13249.82,13274.54,13164.96,13261.39
2019-08-29,13256.13,13405.62,13246.22,13358.5
2019-08-30,13374.24,13564.96,13299.16,13556.48
2019-09-02,13534.46,13588.56,13518.43,13572.98
2019-09-03,13583.64,13793.18,13514.18,13790.58
2019-09-04,13855.06,13868.14,13612.92,13618.93
2019-09-05,13635.73,13670.45,13405.34,13408.4
2019-09-06,13390.24,13430.56,13375.45,13408.28
2019-09-09,13415.48,13520.33,13371.0,13463.97
2019-09-10,13427.21,13505.03,13288.99,13466.75
2019-09-11,13458.48,13487.24,13205.07,13213.04
2019-09-12,13214.22,13280.67,13071.66,13208.73
2019-09-13,13238.78,13262.78,13027.89,13053.65
2019-09-16,13076.33,13231.79,13059.84,13143.29
2019-09-17,13137.03,13226.54,13104.78,13195.71
2019-09-18,13176.06,13197.9,13062.49,13085.78
2019-09-19,13064.87,13127.91,12997.37,13029.12
2019-09-20,13033.59,13053.97,12881.92,12906.02
2019-09-23,12889.86,12926.96,12864.08,12905.04
2019-09-24,12910.22,13050.78,12871.51,13028.75
2019-09-25,13024.22,13060.34,12901.49,12914.62
2019-09-26,12888.46,13070.6,12888.2,12982.98
2019-09-27,12965.91,12979.09,12874.77,12924.75
2019-09-30,12956.0,12990.29,12812.73,12834.9
2019-10-01,12844.6,12915.33,12754.11,12828.55
2019-10-02,12838.32,12861.17,12664.39,12710.22
2019-10-03,12725.56,12766.89,12636.54,12650.43
2019-10-04,12627.75,12643.08,12447.82,12514.5
2019-10-07,12467.92,12761.33,12425.2,12755.58
2019-10-08,12744.83,12824.17,12723.37,12766.41
2019-10-09,12791.99,12837.56,12670.26,12688.83
2019-10-10,12691.31,12766.82,12647.39,12721.07
2019-10-11,12741.68,12799.68,12695.6,12714.13
2019-10-14,12730.73,12775.65,12690.35,12694.16
2019-10-15,12672.39,12800.29,12621.33,12774.63
2019-10-16,12773.33,12885.75,12663.73,12873.04
2019-10-17,12896.07,12946.08,12791.12,12815.28
2019-10-18,12805.86,12819.97,12742.94,12752.32
2019-10-21,12757.12,12776.98,12725.74,12725.78
2019-10-22,12718.38,12748.61,12388.99,12458.39
2019-10-23,12490.37,12600.56,12228.68,12287.63
2019-10-24,12256.69,12492.99,12206.5,12453.79
2019-10-25,12443.74,12680.15,12421.03,12655.4
2019-10-28,12694.1,12712.65,12585.83,12632.17
